positions 4000 | engine leg 4000 | maia leg 4000

equal-eval lines/position: mean 3.1

                  plan | eng confirm |  (floor) | maia typical
        prepared_break |  86% (1908) |      29% |   86% (1908)
       free_bad_bishop |  88% (1847) |      72% |   86% (1847)
       rook_activation |  81% (1752) |      22% |   91% (1752)
      weakness_harvest |  77% (1275) |      19% |   83% (1275)
            pair_break |  82% (1093) |       4% |   88% (1093)
  harvest_overextended |   66% (866) |       8% |    66% (866)
    outpost_occupation |   60% (811) |      14% |    69% (811)
       castle_kingside |   88% (645) |      11% |    89% (645)
         heavy_battery |   56% (608) |       8% |    62% (608)
       passer_creation |   56% (591) |      21% |    70% (591)
        simplification |   91% (426) |      15% |    99% (426)
      castle_queenside |   58% (383) |      11% |    59% (383)
      seventh_invasion |   51% (376) |      17% |    67% (376)
              blockade |   47% (361) |       8% |    53% (361)
      pair_acquisition |   59% (350) |      26% |    68% (350)
     chain_base_attack |   64% (332) |       8% |    63% (332)
          storm_launch |   65% (305) |      33% |    68% (305)
        wing_expansion |   37% (300) |      17% |    44% (300)
         attack_passer |   87% (253) |      44% |    91% (253)
        strong_outpost |   51% (237) |      11% |    54% (237)
         backward_push |   39% (215) |      10% |    36% (215)
        knight_reroute |   24% (209) |      10% |    29% (209)
         majority_roll |   48% (204) |      28% |    49% (204)
     bad_bishop_escape |   58% (187) |      25% |    60% (187)
       fix_then_attack |   45% (183) |       8% |    41% (183)
minority_attack_general |   59% (155) |      28% |    55% (155)
             open_king |   24% (131) |      10% |    29% (131)
    trade_into_endgame |   37% (116) |       0% |    39% (116)
            king_march |   42% (109) |       6% |    75% (109)
   exchange_bad_bishop |   32% (109) |       1% |    35% (109)
  center_break_vs_king |   58% (107) |       7% |    50% (107)
       remove_defender |   52% (105) |       4% |    50% (105)
           passer_push |    44% (94) |      11% |     56% (94)
        seal_to_entomb |    31% (87) |       3% |     34% (87)
                entomb |    27% (81) |       4% |     36% (81)
             rook_lift |    11% (62) |       0% |     18% (62)
            pawn_storm |    32% (59) |      10% |     39% (59)
       minority_attack |    64% (53) |      23% |     87% (53)
         deny_castling |    26% (19) |       5% |     32% (19)
           alternation |    31% (13) |       0% |     15% (13)
          bind_squeeze |           - |        - |            -
