[K=16 EXTENSION: 300/300 anchors extended so far]
K-STUDY CONVERGENCE  [COMPLETE: 12/12 ksample shards, 300 positions, 3443 (pos,plan) cells, budget K=16]

VERDICT: estimate settles at K*=9 (incremental Δ < 0.03). Use K=9 rollouts for the Maia VERIFY contract.

   k |   incr Δ |    gap→K | curve
   1 |   0.0000 |   0.2453 | ###############
   2 |   0.1333 |   0.1892 | ###########
   3 |   0.0905 |   0.1502 | #########
   4 |   0.0675 |   0.1272 | ########
   5 |   0.0526 |   0.1108 | #######
   6 |   0.0431 |   0.0971 | ######
   7 |   0.0376 |   0.0848 | #####
   8 |   0.0327 |   0.0725 | ####
   9 |   0.0287 |   0.0665 | ####  <- K*
  10 |   0.0263 |   0.0577 | ###
  11 |   0.0237 |   0.0499 | ###
  12 |   0.0215 |   0.0423 | ###
  13 |   0.0195 |   0.0353 | ##
  14 |   0.0185 |   0.0265 | ##
  15 |   0.0175 |   0.0158 | #
  16 |   0.0158 |   0.0000 | 

per-plan marginal at full budget (Maia freq vs GM-actual rate):
                    plan |  maia P |    ±SE |  actual | gap
       W:rook_activation |  0.240 | 0.0062 |  0.220 | +0.020
      W:weakness_harvest |  0.234 | 0.0061 |  0.237 | -0.003
       B:rook_activation |  0.216 | 0.0059 |  0.213 | +0.003
      B:weakness_harvest |  0.194 | 0.0057 |  0.173 | +0.020
       W:passer_creation |  0.131 | 0.0049 |  0.083 | +0.048
       B:passer_creation |  0.101 | 0.0044 |  0.040 | +0.061  OVER
    W:outpost_occupation |  0.100 | 0.0043 |  0.127 | -0.027
    B:outpost_occupation |  0.099 | 0.0043 |  0.100 | -0.001
      W:pair_acquisition |  0.070 | 0.0037 |  0.057 | +0.013
      B:pair_acquisition |  0.069 | 0.0037 |  0.040 | +0.029
      W:seventh_invasion |  0.063 | 0.0035 |  0.047 | +0.016
      B:seventh_invasion |  0.056 | 0.0033 |  0.027 | +0.029
              W:blockade |  0.049 | 0.0031 |  0.057 | -0.007
              B:blockade |  0.045 | 0.0030 |  0.060 | -0.015
     W:bad_bishop_escape |  0.031 | 0.0025 |  0.027 | +0.005
     B:bad_bishop_escape |  0.031 | 0.0025 |  0.027 | +0.004
             W:open_king |  0.028 | 0.0024 |  0.030 | -0.002
             B:open_king |  0.022 | 0.0021 |  0.010 | +0.012
  B:minority_attack_general:launched |  0.021 | 0.0021 |  0.033 | -0.013
                B:entomb |  0.018 | 0.0019 |  0.007 | +0.011
           W:passer_push |  0.017 | 0.0019 |  0.013 | +0.004
        W:seal_to_entomb |  0.016 | 0.0018 |  0.007 | +0.009
           B:passer_push |  0.016 | 0.0018 |  0.007 | +0.009
            W:king_march |  0.013 | 0.0016 |  0.010 | +0.003
  W:minority_attack:launched |  0.010 | 0.0015 |  0.013 | -0.003
                W:entomb |  0.010 | 0.0014 |  0.017 | -0.007
            W:pawn_storm |  0.010 | 0.0014 |  0.010 | -0.000
            B:king_march |  0.009 | 0.0013 |  0.010 | -0.001
  B:minority_attack_general:advanced |  0.008 | 0.0013 |  0.013 | -0.005
            B:pawn_storm |  0.008 | 0.0013 |  0.017 | -0.009
        B:seal_to_entomb |  0.007 | 0.0012 |  0.017 | -0.010
  B:minority_attack_general:completed |  0.006 | 0.0012 |  0.013 | -0.007
  W:minority_attack:completed |  0.005 | 0.0010 |  0.007 | -0.001
  W:minority_attack_general:launched |  0.005 | 0.0010 |  0.007 | -0.002
  W:minority_attack_general:completed |  0.004 | 0.0009 |  0.000 | +0.004
  B:minority_attack:launched |  0.003 | 0.0007 |  0.000 | +0.003
  W:minority_attack:advanced |  0.002 | 0.0007 |  0.000 | +0.002
  B:minority_attack:completed |  0.002 | 0.0007 |  0.000 | +0.002
  W:minority_attack_general:advanced |  0.001 | 0.0004 |  0.000 | +0.001
  B:minority_attack:advanced |  0.000 | 0.0003 |  0.000 | +0.000
